Question,Answer,Source_Article,Source_URL
Apa yang dimaksud dengan **Salah satu contoh sukses perusahaan yang go public**?,"Salah satu contoh sukses perusahaan yang go public adalah perusahaan milik Mark Zuckeberg, Facebook.",PERUSAHAAN GO PUBLIC? SIMAK MANFAATNYA!,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10519
Apa yang dimaksud dengan **Capital Gain Capital Gain**?,Capital Gain Capital Gain adalah keuntungan ketika investor menjual saham dengan harga yang lebih tinggi dari harga belinya.,SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/285
Apa yang dimaksud dengan **Saham**?,"Saham merupakan aset yang likuid, jadi mudah untuk diperjualbelikan (via Bursa) Risiko memiliki Saham Tidak Mendapatkan Dividen Umumnya perusahaan membagi dividen ketika perusahaan menunjukkan kinerja yang baik.",SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/285
Apa yang dimaksud dengan **Capital Loss Capital Loss**?,Capital Loss Capital Loss merupakan kebalikan Capital Gain.,SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/285
Apa yang dimaksud dengan **Kemungkinan terburuknya**?,"Kemungkinan terburuknya adalah jika tidak lagi aktiva yang tersisa, maka pemegang saham tidak akan memperoleh apa-apa.",SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/285
"Apa yang dimaksud dengan **Mudahnya, pasar modal**?","Mudahnya, pasar modal adalah sebuah ‘pasar’, yang mempertemukan dua kepentingan yaitu pihak pemilik dana (investor) dan pihak yang memerlukan dana (issuer).","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Pembeli di pasar modal**?,"Pembeli di pasar modal adalah seorang investor, sedangkan penjual dapat berupa perusahaan publik atau intitusi lain seperti pemerintah, yang membutuhkan sejumlah dana tambahan untuk menjalankan berbagai tujuan dalam rangka pengembangan perusahaan/ institusi.","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Obligasi Obligasi**?,"Obligasi Obligasi adalah surat perjanjian utang piutang jangka menengah maupun jangka panjang yang berisikan berisi janji dari penerbit efek untuk membayar imbalan berupa bunga (kupon) pada periode tertentu dan melunasi pokok utang pada akhir waktu yang telah ditentukan, kepada pembeli obligasi tersebut.","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Sukuk Sukuk**?,Sukuk Sukuk adalah Efek Syariah berupa sertifikat atau bukti kepemilikan (bukan berbasis utang) yang bernilai sama dan mewakili bagian yang tidak terpisahkan atau tidak terbagi.,"MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Saham Saham (stock)**?,Saham Saham (stock) merupakan salah satu instrumen pasar keuangan yang paling populer.,"MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Menerbitkan saham**?,Menerbitkan saham merupakan salah satu pilihan perusahaan ketika memutuskan untuk pendanaan perusahaan.,"MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
"Apa yang dimaksud dengan **Pada sisi yang lain, saham**?","Pada sisi yang lain, saham merupakan instrument investasi yang banyak dipilih para investor karena saham mampu memberikan tingkat keuntungan yang menarik.","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Reksa dana Reksa dana**?,"Reksa dana Reksa dana merupakan salah satu alternatif investasi bagi masyarakat pemodal, khususnya pemodal kecil dan pemodal yang tidak memiliki banyak waktu dan keahlian untuk menghitung risiko atas investasi mereka.","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
"Apa yang dimaksud dengan **Pertama,**?","Pertama, adalah risiko yang berkaitan dengan kegiatan perusahaan tersebut atau risiko tidak sistemik.","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
"Apa yang dimaksud dengan **Kedua,**?","Kedua, adalah risiko yang tidak berkaitan dengan perusahaan, namun keadaan pasar secara keseluruhan atau risiko sistemik.","MAU MUTER DUIT KAMU? YOK KE PASAR MODAL, NGGAK PERLU RAGU!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10406
Apa yang dimaksud dengan **Membeli rumah**?,Membeli rumah adalah salah satu contoh kebutuhan kita di masa depan lho.,WUJUDKAN MIMPIMU DENGAN BERINVESTASI SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10407
Apa yang dimaksud dengan **Saham sendiri**?,Saham sendiri adalah sebuah surat yang menunjukkan kepemilikan suatu perusahaan.,WUJUDKAN MIMPIMU DENGAN BERINVESTASI SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10407
"Apa yang dimaksud dengan **Trader,**?","Trader, adalah para investor yang tidak menyimpan asetnya, biasanya dalam satu hari yang sama aset yang dibeli sudah dijual lagi.",WUJUDKAN MIMPIMU DENGAN BERINVESTASI SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10407
"Apa yang dimaksud dengan **Swing Investor,**?","Swing Investor, adalah para investor yang menyimpan asetnya hingga suatu waktu tertentu ketika target keuntungannya diperoleh.",WUJUDKAN MIMPIMU DENGAN BERINVESTASI SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10407
"Apa yang dimaksud dengan **Long term investor,**?","Long term investor, adalah para investor yang menyimpan asetnya dalam jangka waktu yang panjang untuk memiiliki bagian dari perusahaan tersebut.",WUJUDKAN MIMPIMU DENGAN BERINVESTASI SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10407
Apa yang dimaksud dengan **Kini pertanyaan yang timbul**?,Kini pertanyaan yang timbul adalah Strategi mana yang bagus untuk digunakan.,MEMBELI SAHAM SYARIAH SEKALIGUS VS MEMBELI SAHAM SYARIAH SEBAGIAN,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10426
"Apa yang dimaksud dengan **Umumnya, membeli saham sebagian**?","Umumnya, membeli saham sebagian adalah salah satu cara untuk menguji apakah harga saham benar-benar akan mengalami peningkatan atau tidak atau kami sebut sebagai test the water.",MEMBELI SAHAM SYARIAH SEKALIGUS VS MEMBELI SAHAM SYARIAH SEBAGIAN,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10426
Apa yang dimaksud dengan **Saham**?,Saham adalah bukti penyertaan modal dalam suatu perusahaan atau perseroan terbatas.,SIAPA SAJA SIH YANG BOLEH MEMBELI SAHAM SYARIAH?,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10427
Apa yang dimaksud dengan **Dana yang dipakai untuk investasi baiknya**?,"Dana yang dipakai untuk investasi baiknya adalah dana yang memang sudah dialokasikan khusus untuk berinvestasi, sehingga manajemen keuangan dapat berjalan sesuai dengan alokasi dan posnya masing-masing.","KENALI SIPF, INVESTOR PASAR MODAL SEMAKIN AMAN DAN NYAMAN",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/40754
Apa yang dimaksud dengan **Investor yang asetnya mendapat perlindungan**?,Investor yang asetnya mendapat perlindungan adalah Pemodal yang memenuhi persyaratan sebagai berikut: - Menitipkan asetnya dan memiliki rekening Efek pada Kustodian - Dibukakan Sub Rekening Efek pada Lembaga Penyimpanan dan Penyelesaian oleh Kustodian - Memiliki nomor tunggal identitas pemodal atau Single Investor Identification (SID) dari Lembaga Penyimpanan dan Penyelesaian.,"KENALI SIPF, INVESTOR PASAR MODAL SEMAKIN AMAN DAN NYAMAN",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/40754
Apa yang dimaksud dengan **Sedangkan aset yang dilindungi**?,Sedangkan aset yang dilindungi merupakan aset berupa efek yang tercatat dan terdaftar di PT.,"KENALI SIPF, INVESTOR PASAR MODAL SEMAKIN AMAN DAN NYAMAN",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/40754
Apa yang dimaksud dengan **Investasi saham**?,Investasi saham merupakan salah satu bentuk investasi yang paling banyak diminati oleh masyarakat.,KATA SIAPA BUKA REKENING SAHAM ITU SUSAH? BACA ARTIKEL BERIKUT INI UNTUK TAHU LEBIH LANJUT!,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10429
Apa yang dimaksud dengan **Pertama-tama hal yang akan kita lakukan**?,Pertama-tama hal yang akan kita lakukan adalah mengisi formulir pembukaan rekening saham yang dapat diunduh secara online di website perusahaan sekuritas atau dengan menemui broker kita.,KATA SIAPA BUKA REKENING SAHAM ITU SUSAH? BACA ARTIKEL BERIKUT INI UNTUK TAHU LEBIH LANJUT!,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10429
Apa yang dimaksud dengan **Rekening ini**?,"Rekening ini adalah rekening penyimpanan saham yang kamu miliki, Sobat Sikapi.",KATA SIAPA BUKA REKENING SAHAM ITU SUSAH? BACA ARTIKEL BERIKUT INI UNTUK TAHU LEBIH LANJUT!,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10429
Apa yang dimaksud dengan **Rekening Dana Investor (RDI)**?,"Rekening Dana Investor (RDI) adalah rekening dari dana anda, yang ditempatkan terpisah dari rekening perusahaan efek.",KATA SIAPA BUKA REKENING SAHAM ITU SUSAH? BACA ARTIKEL BERIKUT INI UNTUK TAHU LEBIH LANJUT!,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10429
Apa yang dimaksud dengan **Manfaat RDI**?,Manfaat RDI adalah agar kamu memiliki rekening bank sendiri untuk seluruh penyelesaian transaksi saham dan untuk menyimpan dana nasabah yang tidak dibelikan saham.,KATA SIAPA BUKA REKENING SAHAM ITU SUSAH? BACA ARTIKEL BERIKUT INI UNTUK TAHU LEBIH LANJUT!,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10429
Apa yang dimaksud dengan **Cut Loss**?,"Cut Loss adalah istilah yang digunakan ketika kita menjual saham pada harga yang lebih rendah dari harga belinya, sehingga kita mengalami kerugian (loss).","INVESTASI SAHAM JUGA HARUS PUNYA STRATEGI DONG! YUK, BAGI INVESTOR PEMULA SIMAK ARTIKEL BERIKUT INI!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10433
Apa yang dimaksud dengan **Buat kamu-kamu yang**?,"Buat kamu-kamu yang merupakan trader aktif, jika saham yang kamu pegang akan turun terus, maka lebih baik untuk segera melakukan cut loss segera, Sobat Sikapi.","INVESTASI SAHAM JUGA HARUS PUNYA STRATEGI DONG! YUK, BAGI INVESTOR PEMULA SIMAK ARTIKEL BERIKUT INI!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10433
Apa yang dimaksud dengan **Kuncinya disini**?,"Kuncinya disini adalah dengan berupaya mengetahui arah pergerakan saham tersebut, apakah akan naik, turun, atau sideways dalam kurun waktu kurang dari satu tahun atau kurang dari beberapa bulan tergantung dari jangka waktu trading kamu.","INVESTASI SAHAM JUGA HARUS PUNYA STRATEGI DONG! YUK, BAGI INVESTOR PEMULA SIMAK ARTIKEL BERIKUT INI!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10433
Apa yang dimaksud dengan **Titik support sendiri**?,"Titik support sendiri merupakan tingkat atau area harga yang diyakini sebagai titik terendah, Sobat Sikapi.","INVESTASI SAHAM JUGA HARUS PUNYA STRATEGI DONG! YUK, BAGI INVESTOR PEMULA SIMAK ARTIKEL BERIKUT INI!",https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10433
Apa yang dimaksud dengan **Tujuan utama dari WIW**?,"Tujuan utama dari WIW adalah untuk mempromosikan pentingnya eduaksi dan perlindungan investor, serta untuk menumbuhkan kesempatan belajar bagi investor terkait inovasi teknologi online yang berubah dengan cepat saat ini.",KENALI SEJARAHNYA DAN YAKIN BERINVESTASI DI PASAR MODAL INDONESIA,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10463
Apa yang dimaksud dengan **Salah satu cara untuk mewujudkan impian tersebut**?,Salah satu cara untuk mewujudkan impian tersebut adalah dengan berinvestasi di Pasar Modal.,KENALI SEJARAHNYA DAN YAKIN BERINVESTASI DI PASAR MODAL INDONESIA,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10463
"Apa yang dimaksud dengan **Dalam teori ekonomi, naik turunnya harga saham**?","Dalam teori ekonomi, naik turunnya harga saham merupakan sesuatu yang lumrah karena hal itu digerakkan oleh kekuatan penawaran dan permintaan.",PENYEBAB NAIK TURUN HARGA SAHAM SUATU PERUSAHAAN,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10507
Apa yang dimaksud dengan **Faktor internal**?,Faktor internal adalah faktor yang timbul dari dalam perusahaan.,PENYEBAB NAIK TURUN HARGA SAHAM SUATU PERUSAHAAN,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10507
Apa yang dimaksud dengan **Sementara faktor eksternal**?,Sementara faktor eksternal adalah faktor yang bersumber dari luar perusahaan.,PENYEBAB NAIK TURUN HARGA SAHAM SUATU PERUSAHAAN,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10507
Apa yang dimaksud dengan **Sebagai contoh kasus**?,Sebagai contoh kasus adalah melemahnya kurs rupiah terhadap dolar AS sering kali melemahkan harga-harga saham di Indeks Harga Saham Gabungan (IHSG).,PENYEBAB NAIK TURUN HARGA SAHAM SUATU PERUSAHAAN,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10507
Apa yang dimaksud dengan **Contoh dari aksi korporasi**?,"Contoh dari aksi korporasi adalah terjadinya akuisisi, merger, right issue, atau divestasi.",PENYEBAB NAIK TURUN HARGA SAHAM SUATU PERUSAHAAN,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10507
Apa yang dimaksud dengan **Indeks saham**?,Indeks saham adalah ukuran statistik perubahan gerak harga dari kumpulan saham yang dipilih berdasarkan kriteria tertentu dan digunakan sebagai sarana tujuan investasi.,MENGENAL JENIS-JENIS INDEKS SAHAM,https://sikapiuangmu.ojk.go.id/FrontEnd/CMS/Articles/10508
